barrio,paquetes,modelo,comercios_barrio,cids_barrio,almacenes_barrio,comercios_seleccionados,semilla,total_kms_walk,total_hours_walk,total_kms_drive,total_hours_drive,distance_cost_van,distance_cost_ona,time_cost_van,time_cost_ona,total_cost
BENICALAP,100,M1,361.0,42.0,412.0,36.6,3.0,9.6098,2.04188,11.0328,0.36818,2.03004,0.0,60.6367,0.0,62.66672
BENICALAP,100,M2,361.0,42.0,412.0,36.6,3.0,16.6834,3.4909999999999997,1.846,0.058699999999999995,0.33968,0.9175599999999999,1.47726,48.90024,51.63474
BENICALAP,150,M1,361.0,42.0,412.0,50.6,3.0,13.0518,2.7863599999999997,13.011199999999999,0.45024,2.39406,0.0,81.43176,0.0,83.82582
BENICALAP,150,M2,361.0,42.0,412.0,50.6,3.0,21.7484,4.5595,2.1788600000000002,0.06826,0.40094,1.1961600000000001,1.7176200000000001,63.86713999999999,67.18184
BENICALAP,200,M1,361.0,42.0,412.0,65.6,3.0,17.3764,3.69338,12.3902,0.45722000000000007,2.2798,0.0,104.429,0.0,106.70881999999999
BENICALAP,200,M2,361.0,42.0,412.0,65.6,3.0,27.3514,5.7574,1.14638,0.03982,0.21094,1.50434,1.0020399999999998,80.64662,83.36394
BENICALAP,250,M1,361.0,42.0,412.0,79.4,3.0,20.288,4.30678,13.286000000000001,0.50144,2.44464,0.0,120.9749,0.0,123.41952
BENICALAP,250,M2,361.0,42.0,412.0,79.4,3.0,32.9874,6.925199999999999,1.6454999999999997,0.05367999999999999,0.30276000000000003,1.8143,1.35054,97.00496000000001,100.4726
BENICALAP,300,M1,361.0,42.0,412.0,92.2,3.0,23.038,4.89178,13.336599999999999,0.51498,2.45396,0.0,136.03448,0.0,138.48844
BENICALAP,300,M2,361.0,42.0,412.0,92.2,3.0,37.7228,7.91728,1.9065,0.061320000000000006,0.35078,2.07476,1.54326,110.90128,114.87006000000001
BENICALAP,350,M1,361.0,42.0,412.0,105.2,3.0,25.376399999999997,5.3921399999999995,13.4222,0.50344,2.4697,0.0,148.33328,0.0,150.803
BENICALAP,350,M2,361.0,42.0,412.0,105.2,3.0,41.6422,8.75466,1.27776,0.04358,0.2351,2.29032,1.09614,122.63096,126.25252
BENICALAP,400,M1,361.0,42.0,412.0,117.6,3.0,28.016399999999997,5.94484,13.624600000000001,0.51644,2.50692,0.0,162.56548,0.0,165.07238
BENICALAP,400,M2,361.0,42.0,412.0,117.6,3.0,45.5502,9.5991,1.2672599999999998,0.0435,0.2332,2.50526,1.0946799999999999,134.45942,138.29254
BENICALAP,450,M1,361.0,42.0,412.0,129.4,3.0,31.2928,6.644,14.3256,0.4976,2.6359,0.0,179.68322,0.0,182.31916
BENICALAP,450,M2,361.0,42.0,412.0,129.4,3.0,50.847,10.66506,1.2388400000000002,0.04428,0.22791999999999998,2.7965600000000004,1.11466,149.39090000000002,153.53006
BENICALAP,500,M1,361.0,42.0,412.0,141.6,3.0,34.7282,7.3800799999999995,14.067400000000001,0.5132399999999999,2.58842,0.0,198.59575999999998,0.0,201.18418
BENICALAP,500,M2,361.0,42.0,412.0,141.6,3.0,54.5606,11.48888,1.47306,0.04934,0.27105999999999997,3.00082,1.24186,160.93078,165.44452
BENICALAP,550,M1,361.0,42.0,412.0,151.8,3.0,37.3036,7.9234800000000005,13.885399999999999,0.5313800000000001,2.5549,0.0,212.72462000000002,0.0,215.27954
BENICALAP,550,M2,361.0,42.0,412.0,151.8,3.0,58.0726,12.2453,1.4512,0.0478,0.26702,3.194,1.20348,171.5259,176.1904
BENICALAP,600,M1,361.0,42.0,412.0,161.2,3.0,39.7316,8.43158,14.1344,0.53976,2.60074,0.0,225.71873999999997,0.0,228.31948000000003
BENICALAP,600,M2,361.0,42.0,412.0,161.2,3.0,61.5714,12.964680000000001,1.28352,0.0456,0.23617999999999997,3.3864400000000003,1.1474,181.6028,186.37276000000003
