modelo,barrio,comercios_barrio,cids_barrio,almacenes_barrio,paquetes,comercios_seleccionados,semilla,total_kms_walk,total_hours_walk,total_kms_drive,total_hours_drive,distance_cost_van,distance_cost_ona,time_cost_van,time_cost_ona,total_cost
M2,AIORA,306,28,118,500,138,2,56.15,12.0436,1.5905,0.0672,0.2926,3.0882,1.6907,168.701,173.7726
M1,AIORA,306,28,118,500,129,3,36.525,7.8056,17.974,0.6197,3.3072,0.0,211.9818,0.0,215.289
M2,AIORA,306,28,118,500,129,3,59.406,12.6428,0.7219,0.0227,0.1328,3.2673,0.5713,177.0943,181.0657
M1,AIORA,306,28,118,500,138,4,34.915,7.4484,16.075,0.6042,2.9578,0.0,202.6013,0.0,205.5591
M2,AIORA,306,28,118,500,138,4,43.632,9.2694,0.9498,0.0356,0.1748,2.3998,0.8952,129.8416,133.3113
M1,AIORA,306,28,118,500,135,5,36.609,7.9622,18.043,0.6214,3.3199,0.0,215.9625,0.0,219.2824
M2,AIORA,306,28,118,500,135,5,44.351,9.3266,0.66,0.0262,0.1214,2.4393,0.6596,130.6428,133.8632
M1,AIORA,306,28,118,550,151,1,38.585,8.2142,16.985,0.6,3.1252,0.0,221.764,0.0,224.8893
M2,AIORA,306,28,118,550,151,1,60.964,13.157,0.7206,0.0227,0.1326,3.353,0.5707,184.2964,188.3528
M1,AIORA,306,28,118,550,148,2,31.14,6.701,15.884,0.6006,2.9227,0.0,183.7083,0.0,186.6309
M2,AIORA,306,28,118,550,148,2,61.959,13.262,1.2782,0.0529,0.2352,3.4077,1.33,185.767,190.7399
M1,AIORA,306,28,118,550,134,3,39.455,8.4664,18.081,0.6317,3.3269,0.0,228.9082,0.0,232.2351
M2,AIORA,306,28,118,550,134,3,60.978,13.0334,1.5426,0.0622,0.2838,3.3538,1.5642,182.5649,187.7667
M1,AIORA,306,28,118,550,151,4,37.761,8.0648,18.047,0.6381,3.3206,0.0,218.9624,0.0,222.2831
M2,AIORA,306,28,118,550,151,4,46.968,9.9336,1.8656,0.0766,0.3433,2.5832,1.927,139.1451,143.9986
M1,AIORA,306,28,118,550,145,5,38.569,8.3894,18.743,0.6675,3.4487,0.0,227.8724,0.0,231.3212
M2,AIORA,306,28,118,550,145,5,51.543,10.7642,1.1919,0.0411,0.2193,2.8349,1.0331,150.7793,154.8666
M1,AIORA,306,28,118,600,161,1,37.306,7.9531,16.212,0.6205,2.983,0.0,215.7126,0.0,218.6956
M2,AIORA,306,28,118,600,161,1,65.583,14.0575,1.2624,0.0506,0.2323,3.6071,1.2724,196.9109,202.0226
M1,AIORA,306,28,118,600,159,2,33.539,7.2,17.54,0.6078,3.2274,0.0,196.443,0.0,199.6703
M2,AIORA,306,28,118,600,159,2,65.886,14.125,0.2947,0.0126,0.0542,3.6237,0.317,197.8559,201.8509
M1,AIORA,306,28,118,600,142,3,41.236,8.8762,17.364,0.645,3.195,0.0,239.553,0.0,242.7479
M2,AIORA,306,28,118,600,142,3,68.629,14.6467,1.6169,0.0505,0.2975,3.7746,1.2711,205.1634,210.5066
M1,AIORA,306,28,118,600,159,4,40.661,8.6989,17.277,0.5842,3.179,0.0,233.5628,0.0,236.7418
M2,AIORA,306,28,118,600,159,4,51.121,10.8605,1.4624,0.0501,0.2691,2.8117,1.2594,152.1287,156.4688
M1,AIORA,306,28,118,600,158,5,41.765,9.0541,18.737,0.625,3.4476,0.0,243.5257,0.0,246.9733
M2,AIORA,306,28,118,600,158,5,53.293,11.2036,1.1196,0.047,0.206,2.9311,1.182,156.9342,161.2533
M1,AIORA,306,28,118,650,168,1,37.855,8.0533,16.94,0.5953,3.117,0.0,217.5992,0.0,220.7162
M2,AIORA,306,28,118,650,168,1,74.418,15.9305,0.7206,0.0227,0.1326,4.093,0.5707,223.1469,227.9432
M1,AIORA,306,28,118,650,168,2,35.921,7.7103,17.889,0.6075,3.2916,0.0,209.2754,0.0,212.567
M2,AIORA,306,28,118,650,168,2,70.715,15.21,0.7965,0.0253,0.1466,3.8893,0.6354,213.0538,217.7251
M1,AIORA,306,28,118,650,152,3,44.452,9.5684,17.542,0.6594,3.2277,0.0,257.3327,0.0,260.5604
M2,AIORA,306,28,118,650,152,3,74.0,15.8825,1.7585,0.068,0.3236,4.07,1.7097,222.4739,228.5772
M1,AIORA,306,28,118,650,169,4,43.552,9.3494,16.177,0.6175,2.9766,0.0,250.7685,0.0,253.745
M2,AIORA,306,28,118,650,169,4,54.641,11.6027,0.9359,0.0364,0.1722,3.0053,0.9164,162.5255,166.6194
M1,AIORA,306,28,118,650,170,5,44.799,9.7441,18.749,0.6253,3.4498,0.0,260.8949,0.0,264.3448
M2,AIORA,306,28,118,650,170,5,56.404,11.8994,1.1318,0.0475,0.2083,3.1022,1.1942,166.6808,171.1855
M1,AIORA,306,28,118,700,173,1,46.96,9.9858,18.04,0.6208,3.3194,0.0,266.8633,0.0,270.1827
