id,barrio,x,y
132071532,MORVEDRE,-0.3696534,39.4874468
138318472,MORVEDRE,-0.3787233,39.4848504
138318476,MORVEDRE,-0.3788632,39.4838846
141589177,MORVEDRE,-0.3748432,39.4864745
179619122,MORVEDRE,-0.3727861,39.4866754
179619130,MORVEDRE,-0.3719233,39.4865431
179619177,MORVEDRE,-0.3781864,39.4862025
179619186,MORVEDRE,-0.3713092,39.4871421
179677885,MORVEDRE,-0.3755467,39.48641
179677895,MORVEDRE,-0.3763256,39.4863338
179677912,MORVEDRE,-0.3772798,39.4874641
180427121,MORVEDRE,-0.3710557,39.4879218
181310398,MORVEDRE,-0.3777005,39.4868918
364683931,MORVEDRE,-0.3717464,39.4835474
1326293530,MORVEDRE,-0.3698448,39.4862147
1792923879,MORVEDRE,-0.3710773,39.4846161
1977229783,MORVEDRE,-0.3759798,39.4869403
3373193185,MORVEDRE,-0.3738612,39.4865616
10856025488,MORVEDRE,-0.3714135,39.4840887
11573058642,MORVEDRE,-0.3788956,39.483269
1064855556,MORVEDRE,-0.3767001,39.4809398
1064897555,MORVEDRE,-0.3775072,39.4814839
1554039317,MORVEDRE,-0.3740058,39.4798589
1867676559,MORVEDRE,-0.3752183,39.4801096
1867676560,MORVEDRE,-0.3746945,39.4798083
4576301688,MORVEDRE,-0.3789473,39.4827617
8579898011,MORVEDRE,-0.375667,39.4804902
252986343,LA TORRE,-0.3923576,39.431161
252986344,LA TORRE,-0.3927777,39.4300885
252986352,LA TORRE,-0.3932805,39.4288201
411338222,LA TORRE,-0.3875833,39.4362138
506533638,LA TORRE,-0.3882768,39.4343855
506533701,LA TORRE,-0.3920961,39.4318255
506533733,LA TORRE,-0.3934066,39.4366919
506533740,LA TORRE,-0.3937861,39.4349248
506533743,LA TORRE,-0.3936315,39.4356616
515651799,LA TORRE,-0.3923355,39.4269678
1125009378,LA TORRE,-0.3931802,39.4292724
1576274818,LA TORRE,-0.3892618,39.4336524
2965185300,LA TORRE,-0.3897929,39.4319346
3916111003,LA TORRE,-0.3886991,39.4334596
7045171042,LA TORRE,-0.3933834,39.4272043
9280296387,LA TORRE,-0.3896163,39.432392
10695969808,LA TORRE,-0.3935651,39.428078
97170161,EL CALVARI,-0.3934158,39.4869097
97171215,EL CALVARI,-0.3896853,39.4884735
128249161,EL CALVARI,-0.3907816,39.4861401
191777678,EL CALVARI,-0.3881711,39.4873604
243820499,EL CALVARI,-0.3877362,39.4869262
243820500,EL CALVARI,-0.3873328,39.4865503
243820541,EL CALVARI,-0.3885527,39.4866609
243820545,EL CALVARI,-0.3891303,39.4862188
243820565,EL CALVARI,-0.3900449,39.4855186
243982678,EL CALVARI,-0.3919882,39.4874833
243982682,EL CALVARI,-0.3913367,39.4863624
243982692,EL CALVARI,-0.3909411,39.4880179
243982707,EL CALVARI,-0.3925476,39.4857253
10301329162,EL CALVARI,-0.3903929,39.4882136
10945878727,EL CALVARI,-0.3880769,39.4860862
111044748,CASTELLAR-L'OLIVERAL,-0.3703908,39.4342513
253098677,CASTELLAR-L'OLIVERAL,-0.371274,39.4238882
330153849,CASTELLAR-L'OLIVERAL,-0.3706914,39.4236078
411338262,CASTELLAR-L'OLIVERAL,-0.3718912,39.4270649
411338265,CASTELLAR-L'OLIVERAL,-0.3710223,39.4288607
559920421,CASTELLAR-L'OLIVERAL,-0.3501051,39.4222711
576889861,CASTELLAR-L'OLIVERAL,-0.3645965,39.4210493
576889864,CASTELLAR-L'OLIVERAL,-0.3716984,39.4247593
576889865,CASTELLAR-L'OLIVERAL,-0.3714038,39.4254015
3918735402,CASTELLAR-L'OLIVERAL,-0.37189,39.424274
3918735405,CASTELLAR-L'OLIVERAL,-0.3690706,39.4229278
3918735407,CASTELLAR-L'OLIVERAL,-0.3667787,39.4218914
4198423136,CASTELLAR-L'OLIVERAL,-0.3514654,39.4221092
4198423137,CASTELLAR-L'OLIVERAL,-0.3530493,39.4220106
4633624804,CASTELLAR-L'OLIVERAL,-0.3456777,39.42779
6510694441,CASTELLAR-L'OLIVERAL,-0.3658314,39.4214057
12306923296,CASTELLAR-L'OLIVERAL,-0.3696901,39.4231878
12306989595,CASTELLAR-L'OLIVERAL,-0.3679015,39.422377
2466453159,CASTELLAR-L'OLIVERAL,-0.3457056,39.4214133
4198423140,CASTELLAR-L'OLIVERAL,-0.353636,39.4218791
9523844382,CASTELLAR-L'OLIVERAL,-0.3452383,39.4262485
10315011917,CASTELLAR-L'OLIVERAL,-0.3442452,39.4213802
10315011920,CASTELLAR-L'OLIVERAL,-0.3470535,39.4217299
10315011921,CASTELLAR-L'OLIVERAL,-0.3494857,39.4222033
12306709992,CASTELLAR-L'OLIVERAL,-0.3583556,39.4197372
101002192,SAFRANAR,-0.3975248,39.4552466
107926558,SAFRANAR,-0.3921546,39.45812
107926564,SAFRANAR,-0.3922889,39.4563778
107926579,SAFRANAR,-0.3970888,39.4555983
107926591,SAFRANAR,-0.3957894,39.4561086
107926611,SAFRANAR,-0.3931535,39.4563201
107926625,SAFRANAR,-0.3913918,39.4563921
108004953,SAFRANAR,-0.3905626,39.4564556
108005071,SAFRANAR,-0.3910169,39.4570708
108005087,SAFRANAR,-0.391555,39.4575247
108005093,SAFRANAR,-0.3928363,39.4587293
108005107,SAFRANAR,-0.3937688,39.4595746
108005135,SAFRANAR,-0.3951821,39.4608464
108005141,SAFRANAR,-0.3961136,39.4617046
108005147,SAFRANAR,-0.396577,39.4621448
108005162,SAFRANAR,-0.3972002,39.4627138
110418639,SAFRANAR,-0.4019889,39.4579031
116137705,SAFRANAR,-0.3944998,39.4562168
116137902,SAFRANAR,-0.3947343,39.4604415
254902142,SAFRANAR,-0.401452,39.4576376
254902143,SAFRANAR,-0.4006226,39.4570413
254902191,SAFRANAR,-0.3982859,39.454625
255007102,SAFRANAR,-0.3999773,39.4604183
255007133,SAFRANAR,-0.3979422,39.4622818
255172062,SAFRANAR,-0.399506,39.4554922
1160312332,SAFRANAR,-0.3951949,39.456164
2696688882,SAFRANAR,-0.402044,39.4585079
8664243236,SAFRANAR,-0.3941343,39.4601068
11013720044,SAFRANAR,-0.4000568,39.4564096
29834293,EL BOTANIC,-0.3860193,39.4719843
29834297,EL BOTANIC,-0.3881979,39.4750696
29834299,EL BOTANIC,-0.3899489,39.4774429
29935839,EL BOTANIC,-0.3839947,39.4721867
29935841,EL BOTANIC,-0.383982,39.4727597
29935843,EL BOTANIC,-0.3839137,39.4737662
30886297,EL BOTANIC,-0.3841564,39.4757102
